movement_id,product_id,quantity,movement_type,movement_date
1,1,50,IN,2026-01-10
2,1,10,OUT,2026-01-18
3,1,20,IN,2026-01-25
4,2,30,IN,2026-01-12
5,2,,OUT,2026-01-20
6,2,5,OUT,2026-01-28
7,3,20,IN,2026-01-15
8,3,-5,IN,2026-01-22
9,3,8,OUT,2026-01-30
10,4,15,IN,invalid_date
11,4,5,OUT,2026-02-02
12,5,10,IN,2026-02-05
13,5,6,OUT,2026-02-08
14,6,25,IN,2026-02-10
15,6,10,OUT,2026-02-12
16,7,40,IN,2026-02-01
17,7,30,OUT,2026-02-03
18,8,12,IN,2026-02-04
19,8,5,OUT,2026-02-06
20,9,8,IN,2026-02-07
21,9,2,OUT,2026-02-09
22,10,18,IN,2026-02-11
23,10,15,OUT,2026-02-13
